x1,y1,z1
210.1073,168.732324,91.5
208.814332,172.611228,97
210.1073,166.146388,108.5
213.986204,163.560452,125
212.046752,165.499904,133
197.824104,195.884652,115.5
205.581912,192.652232,136.5
208.167848,202.349492,140.5
201.703008,200.41004,137.5
111.195248,170.671776,87
111.841732,179.722552,92.5
109.255796,164.206936,101
110.548764,164.206936,133.5
109.255796,146.105384,139.5
121.538992,188.126844,123
124.124928,179.076068,143.5
107.316344,182.308488,146.5
106.66986,192.005748,156
117.013604,192.652232,154.5
